lambda,L,L_low,L_up,NQSOs              
1.2398,8.31374354389773e+44,6.28482923379839e+43,6.79878810192776e+43,0
1.2398,8.31374354389773e+44,6.28482923379837e+43,6.79878810192776e+43,0
1.518755,7.99812851998236e+44,6.10045280509663e+43,6.60417648038463e+43,0
1.79771,7.74501880672625e+44,5.95098919657191e+43,6.44629925566449e+43,0
2.076665,7.53486087002742e+44,5.82577028156392e+43,6.31394942018233e+43,0
2.35562,7.35590513830797e+44,5.71832027415736e+43,6.20031960145438e+43,0
2.634575,7.200567080937e+44,5.62442289162958e+43,6.10097513878057e+43,0
2.91353,7.06368077867395e+44,5.54118490451382e+43,6.01287146017614e+43,0
3.192485,6.94157747346366e+44,5.46653803686724e+43,5.93383115327685e+43,0
3.47144,6.83156289197434e+44,5.3989544254267e+43,5.86224510507741e+43,0
3.750395,6.73160328507989e+44,5.33727462642752e+43,5.79689178001394e+43,0
4.02935,6.64012785158817e+44,5.28059876715879e+43,5.73682280547707e+43,0
4.308305,6.55589950688034e+44,5.22821498382425e+43,5.68128772511125e+43,0
4.58726,6.47792755499985e+44,5.17955083562741e+43,5.62968289558943e+43,0
4.866215,6.40540700858055e+44,5.13413939789166e+43,5.58151581278602e+43,0
5.14517,6.33767539514133e+44,5.09159502881625e+43,5.53637960891654e+43,0
5.424125,6.27418135490415e+44,5.0515956853712e+43,5.4939344373025e+43,0
5.70308,6.21446138221508e+44,5.01386977904181e+43,5.45389363278719e+43,0
5.982035,6.1581223112947e+44,4.97818624505086e+43,5.41601325331285e+43,0
6.26099,6.10482793091139e+44,4.94434692895248e+43,5.38008406032132e+43,0
6.539945,6.05428861736888e+44,4.91218067251792e+43,5.3459252878716e+43,0
6.8189,6.00625320777875e+44,4.88153866459306e+43,5.31337974355812e+43,0
7.097855,5.96050255924882e+44,4.85229074656234e+43,5.28230991465376e+43,0
7.37681,5.91684439284964e+44,4.82432244721907e+43,5.25259484247272e+43,0
7.655765,5.87510912798973e+44,4.79753258134739e+43,5.22412759054202e+43,0
7.93472,5.83514648838173e+44,4.77183128853678e+43,5.1968131765851e+43,0
8.213675,5.79682271500511e+44,4.74713841912538e+43,5.17056687028447e+43,0
8.49263,5.76001826089812e+44,4.72338219630635e+43,5.14531278208811e+43,0
8.771585,5.7246258716268e+44,4.70049809976183e+43,5.12098268551401e+43,0
9.05054,5.69054897687182e+44,4.67842792836738e+43,5.09751502822831e+43,0
9.329495,5.65770033480977e+44,4.65711900868808e+43,5.07485409683468e+43,0
9.60845,5.62600088329279e+44,4.6365235229679e+43,5.05294930766569e+43,0
9.887405,5.59537876127424e+44,4.61659793567484e+43,5.03175460151e+43,0
10.16636,5.56576847122463e+44,4.59730250181198e+43,5.01122792458032e+43,0
10.445315,5.53711015896384e+44,4.57860084344125e+43,4.99133078143571e+43,0
10.72427,5.50934899179421e+44,4.5604595834116e+43,4.97202784825242e+43,0
11.003225,5.48243461934091e+44,4.54284802729554e+43,4.95328663695918e+43,0
11.28218,5.45632070430787e+44,4.52573788614285e+43,4.93507720244261e+43,0
11.561135,5.43096451259925e+44,4.50910303394591e+43,4.91737188638453e+43,0
11.84009,5.40632655406203e+44,4.49291929474793e+43,4.90014509238495e+43,0
12.119045,5.38237026656623e+44,4.4771642551663e+43,4.88337308791142e+43,0
12.398,5.35906173732947e+44,4.46181709878942e+43,4.86703382933715e+43,0
12.398,5.3590617373294e+44,4.46181709878847e+43,4.86703382933772e+43,0
24.58805,1.41301376500492e+45,1.36599696831823e+44,1.51218367715956e+44,0
36.7781,2.49886457203376e+45,2.61054671154447e+44,2.91508348790181e+44,0
48.96815,3.74780495930539e+45,4.12152155207371e+44,4.63077538938297e+44,0
61.1582,5.13419038282177e+45,5.86432123713397e+44,6.62052377941687e+44,0
73.34825,6.641072769109e+45,7.81523262468164e+44,8.85759707451864e+44,0
85.5383,8.25621297331051e+45,9.95665841414382e+44,1.13220520267043e+45,0
97.72835,9.97025679081141e+45,1.22748537338675e+45,1.39982435720992e+45,0
109.9184,1.17757660600171e+46,1.47586900784579e+45,1.6873458136124e+45,0
122.10845,1.36666502416023e+46,1.7398913750525e+45,1.99370903254454e+45,0
134.2985,1.56378082461614e+46,2.01876697440196e+45,2.31801124685926e+45,0
146.48855,1.76848901922336e+46,2.31181798977553e+45,2.65947149373764e+45,0
158.6786,1.98041320526082e+46,2.61845163320501e+45,3.01740522643544e+45,0
170.86865,2.19922368780193e+46,2.93814366431832e+45,3.39120580143239e+45,0
183.0587,2.42462870236697e+46,3.27042607280876e+45,3.78033061130466e+45,0
195.24875,2.65636777220947e+46,3.61487766012606e+45,4.18429046002793e+45,0
207.4388,2.89420657793924e+46,3.97111669661049e+45,4.60264126405143e+45,0
219.62885,3.13793292510984e+46,4.33879509980504e+45,5.03497746117253e+45,0
231.8189,3.38735352598446e+46,4.71759375071393e+45,5.48092669915598e+45,0
244.00895,3.64229139632307e+46,5.10721867667947e+45,5.94014550052101e+45,0
256.199,3.90258372440023e+46,5.50739790474148e+45,6.4123156837031e+45,0
268.38905,4.16808010791762e+46,5.91787884106618e+45,6.89714137851652e+45,0
280.5791,4.43864108127694e+46,6.33842606835575e+45,7.39434651444199e+45,0
292.76915,4.71413687471618e+46,6.76881947913861e+45,7.90367268934814e+45,0
304.9592,4.99444636056869e+46,7.20885268174714e+45,8.42487734744374e+45,0
317.14925,5.27945615199962e+46,7.65833162975261e+45,8.95773221092385e+45,0
329.3393,5.56905982708684e+46,8.11707343608261e+45,9.5020219215178e+45,0
341.52935,5.86315725677694e+46,8.5849053409715e+45,1.0057542857061e+46,0
353.7194,6.16165401956617e+46,9.06166380897397e+45,1.06241020950558e+46,0
365.90945,6.46446088908619e+46,9.54719373498218e+45,1.12015165004948e+46,0
378.0995,6.77149338336804e+46,1.00413477428739e+46,1.1789611919382e+46,0
390.28955,7.08267136659513e+46,1.05439855633299e+46,1.23882224626693e+46,0
402.4796,7.39791869577216e+46,1.10549734796775e+46,1.29971898679524e+46,0
414.66965,7.71716290602709e+46,1.15741838324781e+46,1.36163629283681e+46,0
426.8597,8.04033492930245e+46,1.21014945750783e+46,1.4245596979843e+46,0
439.04975,8.36736884203464e+46,1.26367888735711e+46,1.4884753439227e+46,0
451.2398,8.69820163810673e+46,1.31799547456146e+46,1.55336993869837e+46,0
463.42985,9.03277302392452e+46,1.37308847333807e+46,1.61923071890476e+46,0
475.6199,9.37102523293141e+46,1.42894756065943e+46,1.68604541532325e+46,0
487.80995,9.71290285726403e+46,1.48556280921905e+46,1.75380222162296e+46,0
500,1.00583526945735e+47,1.54292466275955e+46,1.822489765777e+46,0
500,1.00583526945735e+47,1.54292466275955e+46,1.822489765777e+46,0
510.3,1.02237756602158e+47,1.56830010754923e+46,1.8524630298951e+46,0
520.6,1.03885321360123e+47,1.59357331456184e+46,1.88231553160213e+46,0
530.9,1.05526379164678e+47,1.61874670663258e+46,1.91205013273085e+46,0
541.2,1.07161081231239e+47,1.64382260336587e+46,1.94166957317867e+46,0
551.5,1.08789572454752e+47,1.6688032274118e+46,1.97117647832141e+46,0
561.8,1.10411991786813e+47,1.69369071025107e+46,2.0005733658463e+46,0
572.1,1.12028472583796e+47,1.71848709753511e+46,2.02986265205979e+46,0
582.4,1.1363914292869e+47,1.74319435402309e+46,2.05904665771903e+46,0
592.7,1.15244125929077e+47,1.76781436815266e+46,2.08812761343088e+46,0
603,1.16843539993382e+47,1.79234895627773e+46,2.11710766465744e+46,0
613.3,1.18437499087343e+47,1.81679986660253e+46,2.145988876363e+46,0
623.6,1.20026112972413e+47,1.84116878283869e+46,2.17477323733369e+46,0
633.9,1.21609487427647e+47,1.86545732760886e+46,2.20346266419793e+46,0
644.2,1.23187724456468e+47,1.88966706561856e+46,2.23205900517281e+46,0
654.5,1.24760922479567e+47,1.91379950661513e+46,2.26056404355932e+46,0
664.8,1.26329176515075e+47,1.9378561081515e+46,2.28897950100687e+46,0
675.1,1.27892578347017e+47,1.96183827817034e+46,2.3173070405656e+46,0
685.4,1.29451216682998e+47,1.9857473774228e+46,2.34554826954344e+46,0
695.7,1.31005177301941e+47,2.00958472173482e+46,2.37370474218305e+46,0
706,1.32554543192649e+47,2.0333515841327e+46,2.40177796217248e+46,0
716.3,1.340993946839e+47,2.05704919683859e+46,2.42976938500227e+46,0
726.6,1.35639809566678e+47,2.08067875314557e+46,2.4576804201803e+46,0
736.9,1.37175863209148e+47,2.10424140918137e+46,2.48551243331499e+46,0
747.2,1.38707628664889e+47,2.12773828556849e+46,2.51326674807633e+46,0
757.5,1.40235176774857e+47,2.15117046898849e+46,2.54094464804351e+46,0
767.8,1.41758576263551e+47,2.17453901365692e+46,2.56854737844718e+46,0
778.1,1.43277893829746e+47,2.19784494271538e+46,2.59607614781366e+46,0
788.4,1.44793194232207e+47,2.22108924954614e+46,2.62353212951783e+46,0
798.7,1.46304540370692e+47,2.24427289901483e+46,2.65091646325093e+46,0
809,1.47811993362575e+47,2.2673968286458e+46,2.67823025640894e+46,0
819.3,1.49315612615386e+47,2.2904619497348e+46,2.70547458540678e+46,0
829.6,1.5081545589551e+47,2.31346914840289e+46,2.73265049692329e+46,0
839.9,1.52311579393319e+47,2.33641928659549e+46,2.75975900908121e+46,0
850.2,1.53804037784949e+47,2.35931320303003e+46,2.7868011125666e+46,0
860.5,1.55292884290935e+47,2.38215171409546e+46,2.81377777169129e+46,0
870.8,1.56778170731909e+47,2.40493561470652e+46,2.84068992540194e+46,0
881.1,1.58259947581525e+47,2.42766567911569e+46,2.86753848823913e+46,0
891.4,1.5973826401679e+47,2.45034266168524e+46,2.89432435124932e+46,0
901.7,1.61213167965962e+47,2.47296729762197e+46,2.92104838285263e+46,0
912,1.62684706154145e+47,2.49554030367658e+46,2.94771142966904e+46,0
912.01083935591,1.62702380564752e+47,2.49577352873856e+46,2.94797880279545e+46,57
954.992586021436,1.7342030022524e+47,2.42390377003905e+46,2.81774072965258e+46,61
1000,1.98433839223738e+47,2.55262019004066e+46,2.92946125591092e+46,66
1047.1285480509,2.04398383492285e+47,2.46189291672949e+46,2.79902358364576e+46,67
1096.47819614319,2.32581956145858e+47,2.88433977072772e+46,3.29267759233401e+46,67
1148.15362149688,2.43770079934291e+47,2.98985029656139e+46,3.40782097422453e+46,71
1202.26443461741,2.36389571813857e+47,2.66988945437681e+46,3.00983349916669e+46,75
1258.92541179417,2.21752723899107e+47,2.34428728338888e+46,2.62141334835937e+46,77
1318.25673855641,2.11087320278055e+47,2.16046478058571e+46,2.40679907634229e+46,78
1380.38426460289,2.05062094893282e+47,2.03170118776419e+46,2.25513391187154e+46,78
1445.43977074593,2.03292383334092e+47,1.96629890232947e+46,2.17684969066123e+46,78
1513.56124843621,1.99006523968807e+47,1.86278021556931e+46,2.0551504739145e+46,78
1584.89319246111,1.94155112108127e+47,1.74288962801782e+46,1.91477495025034e+46,78
1659.58690743756,1.90945046967786e+47,1.65269293554181e+46,1.80929329200593e+46,78
1737.80082874938,1.92027764245836e+47,1.62895262922117e+46,1.77994348352499e+46,78
1819.70085860998,1.9062872571035e+47,1.57796882727278e+46,1.72037656690549e+46,78
1905.46071796325,1.87474608894526e+47,1.51230200276912e+46,1.64499920403173e+46,78
1995.26231496888,1.84242715155782e+47,1.45157125031468e+46,1.57571526168642e+46,78
2089.29613085404,1.83266258110967e+47,1.42089602710227e+46,1.54031976956303e+46,78
2187.76162394955,1.81067439418864e+47,1.37412846532743e+46,1.4869756793131e+46,78
2290.86765276777,1.78709838341218e+47,1.32715128307871e+46,1.43361576298343e+46,78
2398.83291901949,1.74160896689154e+47,1.25999840256852e+46,1.35826449603769e+46,78
2511.88643150958,1.70211253073377e+47,1.20653937497282e+46,1.29858966763211e+46,78
2630.26799189538,1.72013858416102e+47,1.22817541878213e+46,1.32260946299561e+46,78
2754.22870333817,1.72074934434933e+47,1.22862200656095e+46,1.32309125872083e+46,78
2884.03150312661,1.60766010828747e+47,1.09382391701537e+46,1.17367898982264e+46,78
3019.95172040202,1.49691180436454e+47,9.74936451975262e+45,1.04285761472163e+46,78
3162.27766016838,1.40708088810548e+47,8.87946501910724e+45,9.47755135846163e+45,78
3311.31121482591,1.3892928836084e+47,8.82057941579515e+45,9.41856107175954e+45,78
3467.36850452532,1.38319192161426e+47,8.90837297940976e+45,9.52160693961411e+45,78
3630.78054770101,1.35988751222721e+47,8.88475468902415e+45,9.50581199671635e+45,78
3801.89396320561,1.32836407863029e+47,8.78509480765837e+45,9.40723969978939e+45,78
3981.07170553497,1.29559283071178e+47,8.65423058983285e+45,9.27368945912666e+45,78
4168.69383470335,1.26897414267626e+47,8.60930758202085e+45,9.23591476273126e+45,78
4365.15832240166,1.23698688312541e+47,8.51268655509339e+45,9.14180668496699e+45,78
4570.88189614875,1.20080941458198e+47,8.36943902883103e+45,8.996478394823e+45,78
4786.30092322638,1.16454861749311e+47,8.18776912980619e+45,8.80697448298409e+45,78
5011.87233627273,1.12471254183693e+47,7.9229010899776e+45,8.52331572898484e+45,78
5248.07460249772,1.08257018656735e+47,7.62901235460354e+45,8.20739834917393e+45,78
5495.40873857625,1.03255811787851e+47,7.20984864749607e+45,7.75106782860666e+45,78
5754.39937337157,9.63566334628241e+46,6.53578802049039e+45,7.01136275860851e+45,78
6025.59586074358,9.02771669560324e+46,5.97699797279502e+45,6.40077535305033e+45,78
6309.57344480193,8.43095428803982e+46,5.43990797493115e+45,5.81511699943329e+45,78
6606.93448007596,8.08726561767947e+46,5.19076493455904e+45,5.54678194422396e+45,78
6918.30970918936,7.77580463645134e+46,4.96121366207252e+45,5.29932783664579e+45,78
7244.35960074991,7.26606228600122e+46,4.53035047311783e+45,4.83159799041422e+45,78
7585.77575029184,6.8990310588781e+46,4.23928779716464e+45,4.51683647906e+45,78
7943.28234724282,6.6929097207499e+46,4.0984301948184e+45,4.36576986922306e+45,78
8317.63771102671,6.43014869057179e+46,3.88348463317876e+45,4.13310316290281e+45,78
8709.63589956081,6.20510735053984e+46,3.68996115889389e+45,3.92326400057561e+45,78
9120.1083935591,5.9951094308092e+46,3.49362027880902e+45,3.70980746858968e+45,78
9549.92586021436,5.85273687328292e+46,3.34613681403257e+45,3.54904333113788e+45,78
10000,5.75492794130657e+46,3.22468396315306e+45,3.41609977722577e+45,78
10471.285480509,5.67537214495041e+46,3.07325829542954e+45,3.24920529728973e+45,79
10964.7819614319,5.65089533690276e+46,2.91289575368438e+45,3.07120892165521e+45,80
11481.5362149688,5.75627923499912e+46,2.88161647704089e+45,3.03347337090225e+45,80
12022.6443461741,5.92290834353083e+46,2.8259190959423e+45,2.96750368308997e+45,82
12589.2541179417,6.10969190839089e+46,2.8510263682737e+45,2.99057872078506e+45,82
13182.5673855641,6.29404645413898e+46,2.84210337007548e+45,2.97650889143685e+45,83
13803.8426460289,6.42460330471624e+46,2.85699156439471e+45,2.98995341885394e+45,85
14454.3977074593,6.65075486515653e+46,2.9017255641709e+45,3.03410355789946e+45,85
15135.6124843621,6.89482085549935e+46,2.95577967033844e+45,3.08816809136256e+45,85
15848.9319246111,7.15195361007879e+46,3.01831578508815e+45,3.15130947682862e+45,85
16595.8690743756,7.41900523086077e+46,3.08616085684269e+45,3.22011117432664e+45,85
17378.0082874938,7.6946199182839e+46,3.15829490262745e+45,3.29347731211942e+45,85
18197.0085860998,7.98119985675927e+46,3.23640076871233e+45,3.37318442090441e+45,85
19054.6071796325,8.27913897465786e+46,3.32112744827891e+45,3.4599200885537e+45,85
19952.6231496888,8.5888057547592e+46,3.41315217688473e+45,3.55440250909439e+45,85
20892.9613085404,8.91052781816399e+46,3.5004415505099e+45,3.64357704998332e+45,85
21877.6162394955,9.24468725242358e+46,3.59056008661653e+45,3.73564962929427e+45,85
22908.6765276777,9.5915589331129e+46,3.68625859794539e+45,3.83359244871613e+45,85
23988.3291901949,9.95121213456966e+46,3.78632644393982e+45,3.93609033939552e+45,85
25118.8643150958,1.029799349039e+47,3.87447341052862e+45,4.02594381370011e+45,85
26302.6799189538,1.06391208424185e+47,3.96213692336722e+45,4.11539935921178e+45,85
27542.2870333816,1.09924222076573e+47,4.06018083306394e+45,4.21590007638339e+45,85
28840.3150312661,1.12746842655113e+47,4.10642293017489e+45,4.26163872669114e+45,85
30199.5172040202,1.1471994290575e+47,4.08616756819002e+45,4.23708680912151e+45,85
31622.7766016838,1.16366675376712e+47,4.04978720083973e+45,4.19580955454318e+45,85
33113.1121482591,1.17841402026121e+47,4.01365849565321e+45,4.1551833473289e+45,85
34673.6850452532,1.19302833153781e+47,3.98998457024766e+45,4.12804357292057e+45,85
36307.8054770102,1.20944928569177e+47,3.99233991846643e+45,4.12862401622316e+45,85
38018.9396320561,1.22574470131311e+47,4.01127525067379e+45,4.14698624558134e+45,85
39810.7170553497,1.24449532977098e+47,4.03897047108775e+45,4.17445096488167e+45,85
41686.9383470336,1.26069480986088e+47,4.0669230190024e+45,4.20249282276792e+45,85
43651.5832240166,1.27818854222631e+47,4.121255605824e+45,4.25856423556668e+45,85
45708.8189614875,1.295559350829e+47,4.16437254595006e+45,4.30267530213713e+45,85
47863.0092322638,1.31216581371676e+47,4.19830448964308e+45,4.33707003599138e+45,85
50118.7233627271,1.32554362820377e+47,4.24085162419788e+45,4.38101474755724e+45,85
52480.7460249772,1.33547183977987e+47,4.2745784857697e+45,4.41592336824834e+45,85
54954.0873857625,1.33881610578773e+47,4.28467499430206e+45,4.42633297196952e+45,85
57543.9937337157,1.33634635212966e+47,4.26671765300679e+45,4.40743940128757e+45,85
60255.9586074357,1.32670420111578e+47,4.22782642017206e+45,4.36698988398413e+45,85
63095.7344480193,1.31384959099192e+47,4.18904508707407e+45,4.32700626985126e+45,85
66069.3448007596,1.30001344187862e+47,4.15523703779071e+45,4.29243631420248e+45,85
69183.0970918936,1.28289409777838e+47,4.11647337580133e+45,4.25293912707276e+45,85
72443.5960074989,1.26390303633808e+47,4.07699943972803e+45,4.21289573114999e+45,85
75857.7575029184,1.23704631921749e+47,4.01843602559014e+45,4.15335407500137e+45,85
79432.8234724282,1.19775376337054e+47,3.90168392763232e+45,4.03306092231165e+45,85
83176.3771102671,1.19946096249379e+47,7.94302761268877e+45,8.50633081878744e+45,20
87096.358995608,1.17782067525996e+47,7.82159833716059e+45,8.37795646294134e+45,20
91201.083935591,1.15697927353946e+47,7.71425038832285e+45,8.26534904254523e+45,20
95499.2586021437,1.13682396194118e+47,7.61928450004721e+45,8.16663310565958e+45,20
100000,1.11727278148479e+47,7.53535339381625e+45,8.08032413798286e+45,20
104712.85480509,1.07339581444207e+47,7.33698758785451e+45,7.87528749377151e+45,20
109647.819614319,1.05344661760095e+47,7.26006072599657e+45,7.79743847122319e+45,20
114815.362149688,1.03406729234769e+47,7.19187853046964e+45,7.72945787937903e+45,20
120226.443461741,1.01522482171229e+47,7.13162846415816e+45,7.67045317601668e+45,20
125892.541179417,9.96891184980978e+46,7.07857519239084e+45,7.61961755069912e+45,20
131825.673855641,9.79042098519355e+46,7.0320477384027e+45,7.57621543778451e+45,20
138038.426460289,9.6165612962292e+46,6.99143059483044e+45,7.53957245006953e+45,20
144543.977074593,9.44714063451008e+46,6.9561573546523e+45,7.50906814106811e+45,20
151356.124843621,9.28198444307964e+46,6.92570595396553e+45,7.4841305893524e+45,20
158489.319246111,9.12093238724128e+46,6.89959494901055e+45,7.46423216310551e+45,20
165958.690743756,8.96383584730991e+46,6.87738045907286e+45,7.44888605402633e+45,20
173780.082874938,8.81055602860996e+46,6.85865354118563e+45,7.4376433179375e+45,20
181970.085860999,8.66096251839224e+46,6.84303784936066e+45,7.4300902552932e+45,20
190546.071796325,8.5149321696912e+46,6.83018748737783e+45,7.42584602706394e+45,20
199526.231496888,8.37234822667136e+46,6.81978500045197e+45,7.42456044175958e+45,20
208929.613085404,8.23309962999831e+46,6.81153947434555e+45,7.42591187532417e+45,20
218776.162394955,8.09708045762097e+46,6.80518472498817e+45,7.42960530199019e+45,20
229086.765276777,7.96418946826714e+46,6.80047757046777e+45,7.43537042428467e+45,20
239883.291901949,7.83432972355239e+46,6.79719618233257e+45,7.44295989637156e+45,20
251188.643150958,7.70740827074596e+46,6.79513851570963e+45,7.45214763812472e+45,20
263026.799189538,7.58333587276657e+46,6.79412081890128e+45,7.46272723896095e+45,20
275422.870333817,7.46202677528436e+46,6.79397622324412e+45,7.47451045091691e+45,20
288403.150312661,7.34339850323836e+46,6.79455341367634e+45,7.48732577037126e+45,20
301995.172040202,7.22737168091327e+46,6.79571537986948e+45,7.50101710741357e+45,20
316227.766016838,7.11386987106985e+46,6.79733824706086e+45,7.51544254128181e+45,20
331131.121482591,7.00281942964987e+46,6.79931018502175e+45,7.53047315969377e+45,20
346736.850452532,6.89414937336657e+46,6.80153039302694e+45,7.54599197942468e+45,20
363078.054770102,6.78779125805453e+46,6.80390815810244e+45,7.56189294494706e+45,20
380189.396320561,6.68367906613558e+46,6.80636198349924e+45,7.57808000169011e+45,20
398107.170553498,6.58174910187261e+46,6.80881878395504e+45,7.59446624011693e+45,20
416869.383470336,6.48193989338233e+46,6.81121314418955e+45,7.61097310675456e+45,20
436515.832240167,6.37319339239831e+46,6.79127334367086e+45,7.6012638347963e+45,20
457088.189614875,6.2605221293994e+46,6.75417340701007e+45,7.57096843839915e+45,20
478630.092322639,6.15035629188782e+46,6.70229944661176e+45,7.5220035013328e+45,20
501187.233627272,6.04331971270482e+46,6.65642833138978e+45,7.48035358988365e+45,20
524807.460249773,5.9384353139022e+46,6.59176586889002e+45,7.414824171525e+45,20
549540.873857625,5.831896651106e+46,6.51997053781893e+45,7.34064312066178e+45,20
575439.937337158,5.71768372432017e+46,6.45547203230004e+45,7.27708081563089e+45,20
602559.586074358,5.56733349260878e+46,6.34254645541753e+45,7.15801883658668e+45,20
630957.344480194,5.42772303438718e+46,6.25889230909458e+45,7.07470007213028e+45,20
660693.448007596,5.2047411539143e+46,6.05228659567146e+45,6.84867910642481e+45,20
691830.970918936,4.8996608378228e+46,5.71470442634321e+45,6.4692425519481e+45,20
724435.960074991,4.6193557073917e+46,5.3944546507986e+45,6.10770909149025e+45,20
758577.575029185,4.35430748621763e+46,5.09283270144795e+45,5.76739138996068e+45,20
794328.234724282,4.10639612499146e+46,4.84644835539945e+45,5.49497609196613e+45,20
831763.771102671,3.84616926164694e+46,4.62591765360454e+45,5.25835814481291e+45,20
870963.589956081,3.58531690547323e+46,4.40314846432845e+45,5.01960963144239e+45,20
912010.839355912,3.19408047485826e+46,3.96023984173571e+45,4.52075388626213e+45,19
954992.586021437,2.8464316149499e+46,3.63112635268885e+45,4.16207218353354e+45,19
1000000,2.53386024923707e+46,3.52196599349496e+45,4.09053413460021e+45,18
1047128.5480509,2.20672054786841e+46,3.24508290079676e+45,3.80456087621995e+45,17
1096478.19614319,1.95353405054616e+46,3.13227967286455e+45,3.73041047596095e+45,16
1148153.62149688,1.67154661811197e+46,2.90156737781228e+45,3.51103276972385e+45,14
1202264.43461741,1.42229972470289e+46,2.54380445837325e+45,3.09786168129408e+45,14
1258925.41179417,1.18041699926783e+46,2.17228967781494e+45,2.66220880991415e+45,14
1318256.73855641,7.5032304645233e+45,1.46414509938879e+45,1.81911952721201e+45,12
1380384.26460289,6.17020889694939e+45,1.24398153904003e+45,1.55811443568514e+45,12
1445439.77074593,5.14289850529548e+45,1.07326060051862e+45,1.35630502451357e+45,12
1513561.24843621,4.48272095489274e+45,1.04884176771663e+45,1.36919929742099e+45,11
1584893.19246111,3.50961353195272e+45,8.99212643642124e+44,1.20896712698861e+45,10
1659586.90743756,2.55953068783402e+45,7.25234551619897e+44,1.01197405048232e+45,9
1737800.82874938,1.97304143441778e+45,5.6952138968953e+44,8.00622195504308e+44,9
1819700.85860999,1.58203552403841e+45,4.61391515969481e+44,6.5135561650079e+44,9
1905460.71796325,1.30513283889231e+45,3.81578229287891e+44,5.39232084893513e+44,9
1995262.31496888,1.09862338009806e+45,3.20166461476441e+44,4.51845634211971e+44,9
2089296.13085404,9.37702222096915e+44,2.71472831646411e+44,3.82091635587627e+44,9
2187761.62394956,8.07644028882578e+44,2.31975022414233e+44,3.25453063475044e+44,9
2290867.65276777,6.99410153015468e+44,1.99357704477202e+44,2.78836356067843e+44,9
2398832.91901949,6.07314573237415e+44,1.72027003968725e+44,2.40012612067238e+44,9
2511886.43150958,5.27705769605881e+44,1.48846248342575e+44,2.07324930815126e+44,9
2630267.99189538,4.58184393081266e+44,1.28984522862178e+44,1.79522231540226e+44,9
2754228.70333817,3.97122951534477e+44,1.11824791781383e+44,1.55655372629754e+44,9
2884031.50312661,3.43366155758556e+44,9.69040185490204e+43,1.35004754496812e+44,9
3019951.72040202,2.96044240370464e+44,8.38711779628457e+43,1.17025125090032e+44,9
3162277.66016838,2.54458686264761e+44,7.24562911207246e+43,1.01301593507083e+44,9
3311311.21482591,2.18014530771352e+44,6.24472313567211e+43,8.75145605370404e+43,9
3467368.50452532,1.86182224925952e+44,5.36725989297561e+43,7.54125129489623e+43,9
3630780.54770102,1.58477652961533e+44,4.59894910594565e+43,6.47917654689984e+43,9
3801893.96320561,1.34452780533234e+44,3.92751410448116e+43,5.54820643555907e+43,9
3981071.70553498,1.13692083174921e+44,3.3421480068861e+43,4.73368524065698e+43,9
4168693.83470336,9.5811778467714e+43,2.83317952374447e+43,4.02270356176532e+43,9
4365158.32240167,8.04601799075426e+43,2.3918825735672e+43,3.40372644068504e+43,9
4570881.89614875,6.73183962325942e+43,2.01038370169009e+43,2.86639987448913e+43,9
4786300.92322639,5.61013009472285e+43,1.68164344175865e+43,2.40149434492414e+43,9
5011872.33627272,3.48617211238807e+43,1.0111768494201e+43,1.4243003151907e+43,9
5248074.60249773,2.88356061833855e+43,8.37949739455953e+42,1.18120161257752e+43,9
5495408.73857625,2.37014032954159e+43,6.88317885077298e+42,9.70025096487596e+42,9
5754399.37337158,1.94813493636771e+43,5.65439542046581e+42,7.9667042415046e+42,9
6025595.86074358,1.60126794308025e+43,4.64525385590154e+42,6.54351861634234e+42,9
6309573.44480194,1.31606757609717e+43,3.81501156457679e+42,5.372344776214e+42,9
6606934.48007596,1.08274829585695e+43,3.13243350958675e+42,4.40755717929613e+42,9
6918309.70918938,8.90793066764639e+42,2.57210623207387e+42,3.61628454483285e+42,9
7244359.60074991,7.32304293016054e+42,2.11041980613744e+42,2.9648594332056e+42,9
7585775.75029185,6.01854068320755e+42,1.73114679091287e+42,2.43014233155445e+42,9
7943282.34724282,4.94641808069127e+42,1.42008945159771e+42,1.99197433887139e+42,9
8317637.71102673,4.06527979402978e+42,1.1649694670367e+42,1.63290348309588e+42,9
8709635.89956081,3.34110451930041e+42,9.55720025705445e+41,1.33863555567011e+42,9
9120108.39355912,2.74593139327902e+42,7.84087254657358e+41,1.09746221182804e+42,9
9549925.86021437,2.25678040690997e+42,6.43303520805445e+41,8.99792735770172e+41,9
